Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
35.00,+40.03%,21.70,23.55,25.40,0.00,0.00,unch,0,0,0.00,227.39%,Call,N/A
40.00,+31.46%,16.85,18.70,20.55,0.00,0.00,unch,0,0,0.00,197.18%,Call,N/A
45.00,+22.89%,11.30,13.43,15.55,0.00,0.00,unch,0,0,0.00,107.92%,Call,N/A
50.00,+14.32%,6.80,8.68,10.55,0.00,0.00,unch,0,0,0.00,96.32%,Call,N/A
53.00,+9.18%,3.65,5.55,7.45,0.00,0.00,unch,0,0,0.00,59.60%,Call,N/A
53.50,+8.33%,3.40,5.08,6.75,0.00,0.00,unch,0,0,0.00,57.09%,Call,N/A
54.00,+7.47%,2.61,4.43,6.25,0.00,0.00,unch,0,0,0.00,40.74%,Call,N/A
55.00,+5.76%,1.66,3.43,5.20,0.00,0.00,unch,0,0,0.00,33.10%,Call,N/A
56.00,+4.04%,1.29,2.82,4.35,2.77,2.77,unch,5,0,0.00,43.68%,Call,02/26/21
56.50,+3.19%,0.69,1.97,3.25,0.00,0.00,unch,0,0,0.00,23.77%,Call,N/A
57.00,+2.33%,0.53,2.04,3.55,0.00,0.00,unch,0,0,0.00,42.81%,Call,N/A
57.50,+1.47%,0.40,1.42,2.44,0.00,0.00,unch,0,0,0.00,31.90%,Call,N/A
58.00,+0.62%,0.33,1.19,2.04,0.00,0.00,unch,0,0,0.00,33.93%,Call,N/A
58.50,-0.24%,0.13,0.77,1.42,0.93,-3.87,-80.62%,20,14,1.43,33.85%,Call,02/26/21
59.00,-1.10%,0.10,0.52,0.93,0.45,-0.57,-55.88%,79,35,2.26,24.53%,Call,02/26/21
59.50,-1.95%,0.03,0.30,0.56,0.37,-0.37,-50.00%,55,14,3.93,27.41%,Call,02/26/21
60.00,-2.81%,0.03,0.18,0.32,0.19,-0.31,-62.00%,652,754,0.86,24.63%,Call,02/26/21
60.50,-3.67%,0.01,0.08,0.14,0.10,-0.28,-73.68%,356,713,0.50,23.63%,Call,02/26/21
61.00,-4.52%,0.05,0.10,0.14,0.08,-0.14,-63.64%,920,377,2.44,25.77%,Call,02/26/21
61.50,-5.38%,0.01,0.06,0.10,0.06,-0.09,-60.00%,12,134,0.09,27.31%,Call,02/26/21
62.00,-6.24%,0.01,0.05,0.09,0.04,-0.08,-66.67%,63,460,0.14,28.06%,Call,02/26/21
62.50,-7.09%,0.02,0.08,0.13,0.08,0.02,+33.33%,1,136,0.01,35.75%,Call,02/26/21
63.00,-7.95%,0.01,0.10,0.18,0.03,0.00,unch,6,260,0.02,32.14%,Call,02/26/21
63.50,-8.81%,0.01,0.05,0.09,0.01,-0.01,-50.00%,1,97,0.01,29.53%,Call,02/26/21
64.00,-9.66%,0.01,0.05,0.08,0.01,-0.02,-66.67%,11,123,0.09,0.00%,Call,02/25/21
64.50,-10.52%,0.01,0.10,0.18,0.04,-0.09,-69.23%,5,76,0.07,49.61%,Call,02/23/21
65.00,-11.38%,0.01,0.02,0.03,0.01,-0.02,-66.67%,1,930,0.00,36.42%,Call,02/26/21
65.50,-12.23%,0.01,0.02,0.03,0.01,-0.04,-80.00%,5,20,0.25,0.00%,Call,02/23/21
66.00,-13.09%,0.02,0.03,0.03,0.02,-0.01,-33.33%,1,152,0.01,0.00%,Call,02/24/21
66.50,-13.95%,0.02,0.37,0.72,0.20,0.20,unch,3,3,1.00,0.00%,Call,02/03/21
67.00,-14.80%,0.01,0.02,0.03,0.04,-0.17,-80.95%,1,42,0.02,0.00%,Call,02/18/21
67.50,-15.66%,0.01,0.02,0.03,0.04,-0.12,-75.00%,10,44,0.23,0.00%,Call,02/19/21
68.00,-16.52%,0.01,0.32,0.62,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
68.50,-17.37%,0.01,0.42,0.82,0.40,-0.28,-41.18%,1,1,1.00,0.00%,Call,02/12/21
69.00,-18.23%,0.01,0.07,0.13,0.02,-0.26,-92.86%,15,15,1.00,0.00%,Call,02/19/21
69.50,-19.09%,0.02,0.63,1.23,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
70.00,-19.95%,0.01,0.07,0.13,0.05,0.05,unch,10,10,1.00,0.00%,Call,02/11/21
75.00,-28.51%,0.01,0.10,0.18,0.00,0.00,unch,0,0,0.00,0.00%,Call,N/A
35.00,-40.03%,0.03,0.02,0.01,0.01,-0.02,-66.67%,75,471,0.16,0.00%,Put,02/17/21
40.00,-31.46%,0.01,0.03,0.06,0.01,0.00,unch,2,708,0.00,0.00%,Put,02/24/21
45.00,-22.89%,0.01,0.01,0.01,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
50.00,-14.32%,0.02,0.11,0.19,0.02,-0.01,-33.33%,1,"1,000",0.00,0.00%,Put,02/25/21
53.00,-9.18%,0.00,0.11,0.22,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
53.50,-8.33%,0.00,0.24,0.47,0.00,0.00,unch,0,0,0.00,0.00%,Put,N/A
54.00,-7.47%,0.01,0.16,0.31,0.05,0.02,+66.67%,3,9,0.33,35.88%,Put,02/26/21
55.00,-5.76%,0.04,0.07,0.10,0.05,0.01,+25.00%,3,35,0.09,28.85%,Put,02/26/21
56.00,-4.04%,0.01,0.25,0.49,0.12,0.01,+9.09%,21,2,10.50,27.25%,Put,02/26/21
56.50,-3.19%,0.02,0.38,0.73,0.13,0.00,unch,1,3,0.33,35.58%,Put,02/25/21
57.00,-2.33%,0.02,0.35,0.68,0.21,0.04,+23.53%,26,94,0.28,22.95%,Put,02/26/21
57.50,-1.47%,0.04,0.27,0.50,0.43,0.23,+115.00%,75,47,1.60,26.17%,Put,02/26/21
58.00,-0.62%,0.40,0.70,1.00,0.57,0.26,+83.87%,129,213,0.61,24.30%,Put,02/26/21
58.50,+0.24%,0.05,0.78,1.51,0.59,0.14,+31.11%,152,77,1.97,16.74%,Put,02/26/21
59.00,+1.10%,0.21,1.15,2.09,0.93,0.38,+69.09%,733,125,5.86,17.61%,Put,02/26/21
59.50,+1.95%,0.24,1.52,2.80,0.92,0.24,+35.29%,11,78,0.14,71.86%,Put,02/26/21
60.00,+2.81%,0.51,1.96,3.40,1.54,0.55,+55.56%,91,"10,454",0.01,81.85%,Put,02/26/21
60.50,+3.67%,0.67,2.01,3.35,1.18,0.16,+15.69%,1,84,0.01,68.73%,Put,02/26/21
61.00,+4.52%,1.08,2.77,4.45,1.66,0.46,+38.33%,14,175,0.08,26.93%,Put,02/25/21
61.50,+5.38%,1.58,3.22,4.85,2.91,1.55,+113.97%,2,335,0.01,98.06%,Put,02/26/21
62.00,+6.24%,1.94,3.47,5.00,3.07,1.03,+50.49%,42,256,0.16,90.71%,Put,02/26/21
62.50,+7.09%,2.22,4.04,5.85,2.85,1.42,+99.30%,7,18,0.39,108.91%,Put,02/22/21
63.00,+7.95%,2.84,4.57,6.30,4.41,0.99,+28.95%,2,25,0.08,112.22%,Put,02/26/21
63.50,+8.81%,3.35,4.73,6.10,1.82,0.28,+18.18%,1,120,0.01,89.45%,Put,02/19/21
64.00,+9.66%,3.80,5.57,7.35,2.33,0.67,+40.36%,155,156,0.99,123.99%,Put,02/17/21
64.50,+10.52%,4.25,5.95,7.65,2.76,0.04,+1.47%,1,1,1.00,120.97%,Put,02/19/21
65.00,+11.38%,4.80,6.55,8.30,5.50,2.30,+71.87%,1,11,0.09,131.46%,Put,02/25/21
65.50,+12.23%,5.25,6.95,8.65,0.00,0.00,unch,0,0,0.00,129.98%,Put,N/A
66.00,+13.09%,5.75,7.48,9.20,0.00,0.00,unch,0,0,0.00,136.38%,Put,N/A
66.50,+13.95%,6.15,7.88,9.60,0.00,0.00,unch,0,0,0.00,136.53%,Put,N/A
67.00,+14.80%,6.75,8.30,9.85,4.00,4.00,unch,1,1,1.00,129.89%,Put,01/25/21
67.50,+15.66%,7.25,8.93,10.60,5.65,5.65,unch,1,1,1.00,144.77%,Put,01/29/21
68.00,+16.52%,7.60,9.35,11.10,0.00,0.00,unch,0,0,0.00,148.78%,Put,N/A
68.50,+17.37%,8.05,10.08,12.10,0.00,0.00,unch,0,0,0.00,173.62%,Put,N/A
69.00,+18.23%,8.45,10.38,12.30,0.00,0.00,unch,0,0,0.00,165.21%,Put,N/A
69.50,+19.09%,8.95,10.88,12.80,0.00,0.00,unch,0,0,0.00,169.09%,Put,N/A
70.00,+19.95%,9.45,11.13,12.80,0.00,0.00,unch,0,0,0.00,150.21%,Put,N/A
75.00,+28.51%,14.45,16.38,18.30,0.00,0.00,unch,0,0,0.00,208.06%,Put,N/A
"Downloaded from Barchart.com as of 03-01-2021 08:07am CST"
