Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLU|20210401|35.00C,XLU,35.00,+41.67%,23.00,25.05,27.10,0.00,0.00,unch,0,0,0.00,90.08%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|40.00C,XLU,40.00,+33.33%,17.60,19.93,22.25,0.00,0.00,unch,0,0,0.00,150.24%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|45.00C,XLU,45.00,+25.00%,13.10,15.30,17.50,0.00,0.00,unch,0,0,0.00,67.09%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|50.00C,XLU,50.00,+16.67%,8.35,10.20,12.05,0.00,0.00,unch,0,0,0.00,43.67%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|55.00C,XLU,55.00,+8.33%,3.45,5.23,7.00,0.00,0.00,unch,0,0,0.00,26.00%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|56.00C,XLU,56.00,+6.67%,2.67,4.29,5.90,0.00,0.00,unch,0,0,0.00,23.57%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|56.50C,XLU,56.50,+5.83%,1.77,4.04,6.30,0.00,0.00,unch,0,0,0.00,26.43%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|57.00C,XLU,57.00,+5.00%,1.21,3.51,5.80,0.00,0.00,unch,0,0,0.00,23.63%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|57.50C,XLU,57.50,+4.17%,0.73,3.09,5.45,0.00,0.00,unch,0,0,0.00,22.75%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|58.00C,XLU,58.00,+3.33%,1.32,2.61,3.90,0.00,0.00,unch,0,0,0.00,20.64%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|58.50C,XLU,58.50,+2.50%,1.10,2.15,3.20,0.00,0.00,unch,0,0,0.00,18.70%,Call,35,04/01/21,N/A,20.09%
XLU|20210401|59.00C,XLU,59.00,+1.67%,1.12,2.00,2.87,2.01,2.01,unch,3,3,1.00,20.88%,Call,35,04/01/21,02/22/21,20.09%
XLU|20210401|59.50C,XLU,59.50,+0.83%,0.26,2.28,4.30,1.79,1.79,unch,69,24,2.88,28.54%,Call,35,04/01/21,02/22/21,20.09%
XLU|20210401|60.00C,XLU,60.00,unch,0.66,1.07,1.48,1.44,-0.34,-19.10%,18,39,0.46,20.49%,Call,35,04/01/21,02/24/21,20.09%
XLU|20210401|60.50C,XLU,60.50,-0.83%,0.16,1.93,3.70,1.11,-1.14,-50.67%,2,23,0.09,30.20%,Call,35,04/01/21,02/22/21,20.09%
XLU|20210401|61.00C,XLU,61.00,-1.67%,0.13,1.82,3.50,1.14,0.34,+42.50%,3,13,0.23,31.49%,Call,35,04/01/21,02/23/21,20.09%
XLU|20210401|61.50C,XLU,61.50,-2.50%,0.10,2.25,4.40,0.81,-0.14,-14.74%,2,3,0.67,19.97%,Call,35,04/01/21,02/24/21,20.09%
XLU|20210401|62.00C,XLU,62.00,-3.33%,0.08,0.55,1.02,0.87,-0.83,-48.82%,11,32,0.34,18.18%,Call,35,04/01/21,02/23/21,20.09%
XLU|20210401|62.50C,XLU,62.50,-4.17%,0.06,0.46,0.86,0.39,-0.01,-2.50%,12,14,0.86,17.40%,Call,35,04/01/21,02/24/21,20.09%
