Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLU|20210409|54.00C,XLU,54.00,+8.12%,3.75,5.00,6.25,0.00,0.00,unch,0,0,0.00,25.22%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|54.50C,XLU,54.50,+7.27%,3.60,4.45,5.30,0.00,0.00,unch,0,0,0.00,22.05%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|55.00C,XLU,55.00,+6.41%,3.30,4.28,5.25,4.20,4.20,unch,1,0,0.00,25.56%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|55.50C,XLU,55.50,+5.56%,2.64,3.75,4.85,0.00,0.00,unch,0,0,0.00,24.23%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|56.00C,XLU,56.00,+4.71%,2.40,3.30,4.20,0.00,0.00,unch,0,0,0.00,22.94%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|56.50C,XLU,56.50,+3.86%,2.04,2.97,3.90,0.00,0.00,unch,0,0,0.00,23.32%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|57.00C,XLU,57.00,+3.01%,0.53,2.77,5.00,2.35,2.35,unch,1,0,0.00,18.96%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|57.50C,XLU,57.50,+2.16%,1.50,2.35,3.20,0.00,0.00,unch,0,0,0.00,23.57%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|58.00C,XLU,58.00,+1.31%,1.15,1.65,2.15,0.00,0.00,unch,0,0,0.00,17.84%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|58.50C,XLU,58.50,+0.46%,0.96,1.51,2.05,1.24,1.24,unch,1,0,0.00,15.92%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|59.00C,XLU,59.00,-0.39%,0.74,1.24,1.74,1.07,1.07,unch,1,0,0.00,16.83%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|59.50C,XLU,59.50,-1.24%,0.66,0.95,1.23,0.97,-0.34,-25.95%,1,3,0.33,18.30%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|60.00C,XLU,60.00,-2.09%,0.61,0.96,1.30,0.62,0.01,+1.64%,4,3,1.33,15.82%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|60.50C,XLU,60.50,-2.94%,0.09,0.55,1.00,0.00,0.00,unch,0,0,0.00,16.88%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|61.00C,XLU,61.00,-3.79%,0.25,0.49,0.73,0.40,-0.50,-55.56%,1,14,0.07,16.48%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|61.50C,XLU,61.50,-4.65%,0.11,0.31,0.50,0.00,0.00,unch,0,0,0.00,16.50%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|62.00C,XLU,62.00,-5.50%,0.04,0.25,0.45,0.23,-0.15,-39.47%,2,39,0.05,16.55%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|62.50C,XLU,62.50,-6.35%,0.01,0.18,0.35,0.00,0.00,unch,0,0,0.00,16.82%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|63.00C,XLU,63.00,-7.20%,0.11,0.23,0.34,0.15,-0.08,-34.78%,1,4,0.25,17.39%,Call,37,04/09/21,03/03/21,18.51%
XLU|20210409|63.50C,XLU,63.50,-8.05%,0.05,0.21,0.37,0.00,0.00,unch,0,0,0.00,0.00%,Call,37,04/09/21,N/A,18.51%
XLU|20210409|54.00P,XLU,54.00,-8.12%,0.13,0.38,0.63,0.00,0.00,unch,0,0,0.00,25.54%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|54.50P,XLU,54.50,-7.27%,0.26,0.54,0.82,0.00,0.00,unch,0,0,0.00,26.92%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|55.00P,XLU,55.00,-6.41%,0.32,0.54,0.76,0.00,0.00,unch,0,0,0.00,24.80%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|55.50P,XLU,55.50,-5.56%,0.36,0.72,1.07,0.00,0.00,unch,0,0,0.00,25.74%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|56.00P,XLU,56.00,-4.71%,0.18,0.74,1.29,0.00,0.00,unch,0,0,0.00,23.74%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|56.50P,XLU,56.50,-3.86%,0.52,0.87,1.22,0.00,0.00,unch,0,0,0.00,23.44%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|57.00P,XLU,57.00,-3.01%,0.60,0.94,1.28,1.01,0.32,+46.38%,1,13,0.08,22.93%,Put,37,04/09/21,03/03/21,18.51%
XLU|20210409|57.50P,XLU,57.50,-2.16%,0.59,0.99,1.40,0.00,0.00,unch,0,0,0.00,19.97%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|58.00P,XLU,58.00,-1.31%,1.00,1.44,1.87,0.00,0.00,unch,0,0,0.00,23.09%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|58.50P,XLU,58.50,-0.46%,1.11,1.61,2.11,0.00,0.00,unch,0,0,0.00,22.18%,Put,37,04/09/21,N/A,18.51%
XLU|20210409|59.00P,XLU,59.00,+0.39%,1.32,1.85,2.38,1.92,0.51,+36.17%,8,17,0.47,22.79%,Put,37,04/09/21,03/03/21,18.51%
XLU|20210409|59.50P,XLU,59.50,+1.24%,1.54,2.11,2.68,2.25,0.73,+48.03%,21,7,3.00,23.36%,Put,37,04/09/21,03/03/21,18.51%
XLU|20210409|60.00P,XLU,60.00,+2.09%,1.85,2.24,2.63,2.37,0.59,+33.15%,7,7,1.00,20.69%,Put,37,04/09/21,03/03/21,18.51%
XLU|20210409|60.50P,XLU,60.50,+2.94%,2.28,3.12,3.95,2.71,0.51,+23.18%,4,9,0.44,20.71%,Put,37,04/09/21,03/03/21,18.51%
XLU|20210409|61.00P,XLU,61.00,+3.79%,2.22,3.06,3.90,3.05,0.80,+35.56%,5,5,1.00,20.38%,Put,37,04/09/21,03/03/21,18.51%
