Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLU|20210416|35.00C,XLU,35.00,+42.17%,25.00,25.48,25.95,0.00,0.00,unch,0,0,0.00,116.42%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|40.00C,XLU,40.00,+33.91%,20.00,20.53,21.05,0.00,0.00,unch,0,0,0.00,61.74%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|45.00C,XLU,45.00,+25.64%,14.95,15.60,16.25,0.00,0.00,unch,0,0,0.00,54.77%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|48.00C,XLU,48.00,+20.69%,12.05,12.65,13.25,0.00,0.00,unch,0,0,0.00,47.58%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|49.00C,XLU,49.00,+19.04%,11.10,11.68,12.25,0.00,0.00,unch,0,0,0.00,45.33%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|50.00C,XLU,50.00,+17.38%,10.05,10.53,11.00,0.00,0.00,unch,0,0,0.00,32.03%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|51.00C,XLU,51.00,+15.73%,7.75,9.60,11.45,7.80,7.80,unch,14,14,1.00,35.15%,Call,38,04/16/21,02/26/21,21.37%
XLU|20210416|52.00C,XLU,52.00,+14.08%,8.00,8.53,9.05,8.84,1.79,+25.39%,6,24,0.25,40.37%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|53.00C,XLU,53.00,+12.43%,7.15,7.60,8.05,6.65,-0.20,-2.92%,12,20,0.60,28.81%,Call,38,04/16/21,03/05/21,21.37%
XLU|20210416|54.00C,XLU,54.00,+10.77%,5.70,6.70,7.70,5.50,-0.05,-0.90%,2,35,0.06,29.10%,Call,38,04/16/21,03/05/21,21.37%
XLU|20210416|55.00C,XLU,55.00,+9.12%,5.30,5.95,6.60,5.95,1.84,+44.77%,6,92,0.07,31.59%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|56.00C,XLU,56.00,+7.47%,4.20,4.75,5.30,3.88,-0.02,-0.51%,102,161,0.63,23.34%,Call,38,04/16/21,03/05/21,21.37%
XLU|20210416|57.00C,XLU,57.00,+5.82%,3.45,4.03,4.60,3.74,0.91,+32.16%,1,43,0.02,19.42%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|58.00C,XLU,58.00,+4.16%,2.66,3.11,3.55,3.15,1.23,+64.06%,5,84,0.06,22.52%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|59.00C,XLU,59.00,+2.51%,2.05,2.36,2.66,2.35,0.52,+28.42%,10,149,0.07,20.56%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|60.00C,XLU,60.00,+0.86%,1.68,1.84,2.00,1.86,0.64,+52.46%,60,559,0.11,21.68%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|61.00C,XLU,61.00,-0.79%,1.03,1.23,1.44,1.28,0.46,+56.10%,80,923,0.09,20.31%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|62.00C,XLU,62.00,-2.45%,0.60,0.79,0.99,0.83,0.28,+50.91%,412,"2,401",0.17,19.27%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|63.00C,XLU,63.00,-4.10%,0.37,0.49,0.60,0.53,0.21,+65.63%,522,"1,591",0.33,18.90%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|64.00C,XLU,64.00,-5.75%,0.21,0.34,0.46,0.32,0.14,+77.78%,43,"1,084",0.04,18.58%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|65.00C,XLU,65.00,-7.40%,0.10,0.21,0.31,0.20,0.10,+100.00%,32,678,0.05,18.77%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|66.00C,XLU,66.00,-9.05%,0.05,0.14,0.23,0.10,0.01,+11.11%,17,120,0.14,18.13%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|67.00C,XLU,67.00,-10.71%,0.01,0.10,0.18,0.06,0.01,+20.00%,2,120,0.02,18.47%,Call,38,04/16/21,03/08/21,21.37%
XLU|20210416|68.00C,XLU,68.00,-12.36%,0.02,0.07,0.12,0.04,-0.02,-33.33%,417,772,0.54,21.14%,Call,38,04/16/21,03/05/21,21.37%
XLU|20210416|69.00C,XLU,69.00,-14.01%,0.01,0.34,0.66,0.11,0.11,unch,4,4,1.00,0.00%,Call,38,04/16/21,02/23/21,21.37%
XLU|20210416|70.00C,XLU,70.00,-15.66%,0.01,0.06,0.10,0.03,0.01,+50.00%,1,9,0.11,0.00%,Call,38,04/16/21,03/02/21,21.37%
XLU|20210416|71.00C,XLU,71.00,-17.32%,0.01,0.33,0.65,0.00,0.00,unch,0,0,0.00,0.00%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|72.00C,XLU,72.00,-18.97%,0.01,1.07,2.13,0.18,0.18,unch,3,3,1.00,0.00%,Call,38,04/16/21,02/24/21,21.37%
XLU|20210416|73.00C,XLU,73.00,-20.62%,0.01,1.07,2.13,0.00,0.00,unch,0,0,0.00,0.00%,Call,38,04/16/21,N/A,21.37%
XLU|20210416|74.00C,XLU,74.00,-22.27%,0.01,1.07,2.13,0.00,0.00,unch,0,0,0.00,0.00%,Call,38,04/16/21,N/A,21.37%
