Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLV|20210312|100.00C,XLV,100.00,+9.75%,8.55,11.03,13.50,0.00,0.00,unch,0,10,0.00,47.94%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|105.00C,XLV,105.00,+5.23%,3.75,6.13,8.50,0.00,0.00,unch,0,0,0.00,32.62%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|107.00C,XLV,107.00,+3.43%,2.20,4.60,7.00,4.49,4.49,unch,1,0,0.00,32.40%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|108.00C,XLV,108.00,+2.53%,1.53,3.77,6.00,0.00,0.00,unch,0,0,0.00,32.42%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|108.50C,XLV,108.50,+2.08%,0.85,3.18,5.50,0.00,0.00,unch,0,0,0.00,28.09%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|109.00C,XLV,109.00,+1.62%,0.72,2.86,5.00,0.00,0.00,unch,0,0,0.00,28.37%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|109.50C,XLV,109.50,+1.17%,0.48,2.74,5.00,0.00,0.00,unch,0,0,0.00,31.40%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|110.00C,XLV,110.00,+0.72%,0.51,2.76,5.00,2.29,2.29,unch,9,0,0.00,28.84%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|110.50C,XLV,110.50,+0.27%,0.13,2.02,3.90,2.87,2.87,unch,3,3,1.00,28.73%,Call,8,03/12/21,03/03/21,22.88%
XLV|20210312|111.00C,XLV,111.00,-0.18%,0.67,2.01,3.35,1.11,-5.44,-83.05%,1,2,0.50,18.66%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|111.50C,XLV,111.50,-0.63%,0.49,1.82,3.15,0.00,0.00,unch,0,5,0.00,33.00%,Call,8,03/12/21,N/A,22.88%
XLV|20210312|112.00C,XLV,112.00,-1.08%,0.11,1.56,3.00,0.88,-0.95,-51.91%,2,4,0.50,21.45%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|112.50C,XLV,112.50,-1.53%,0.07,2.54,5.00,0.98,-0.36,-26.87%,24,2,12.00,25.90%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|113.00C,XLV,113.00,-1.99%,0.04,1.40,2.75,2.26,-0.09,-3.83%,1,3,0.33,35.47%,Call,8,03/12/21,03/01/21,22.88%
XLV|20210312|113.50C,XLV,113.50,-2.44%,0.03,0.91,1.79,0.48,-0.40,-45.45%,3,36,0.08,21.99%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|114.00C,XLV,114.00,-2.89%,0.01,0.28,0.55,0.27,-0.52,-65.82%,61,43,1.42,19.44%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|114.50C,XLV,114.50,-3.34%,0.01,0.71,1.41,0.61,-0.87,-58.78%,1,12,0.08,30.97%,Call,8,03/12/21,03/03/21,22.88%
XLV|20210312|115.00C,XLV,115.00,-3.79%,0.01,0.59,1.16,0.36,-0.08,-18.18%,15,213,0.07,25.51%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|115.50C,XLV,115.50,-4.24%,0.07,0.42,0.76,0.35,-0.60,-63.16%,4,10,0.40,28.76%,Call,8,03/12/21,03/03/21,22.88%
XLV|20210312|116.00C,XLV,116.00,-4.69%,0.06,0.16,0.25,0.20,-0.41,-67.21%,5,35,0.14,24.55%,Call,8,03/12/21,03/04/21,22.88%
XLV|20210312|100.00P,XLV,100.00,-9.75%,0.03,0.31,0.59,0.06,-0.06,-50.00%,40,50,0.80,0.00%,Put,8,03/12/21,03/01/21,22.88%
XLV|20210312|105.00P,XLV,105.00,-5.23%,0.07,0.43,0.79,0.14,0.04,+40.00%,6,32,0.19,25.32%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|107.00P,XLV,107.00,-3.43%,0.05,0.94,1.83,0.25,0.25,unch,2,0,0.00,21.66%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|108.00P,XLV,108.00,-2.53%,0.17,1.16,2.14,0.33,0.01,+3.13%,6,21,0.29,19.47%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|108.50P,XLV,108.50,-2.08%,0.09,1.35,2.61,0.67,0.33,+97.06%,5,2,2.50,23.88%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|109.00P,XLV,109.00,-1.62%,0.35,1.57,2.78,0.46,-0.01,-2.13%,1,16,0.06,36.10%,Put,8,03/12/21,02/25/21,22.88%
XLV|20210312|109.50P,XLV,109.50,-1.17%,0.12,1.71,3.30,0.37,-0.16,-30.19%,39,28,1.39,35.17%,Put,8,03/12/21,03/01/21,22.88%
XLV|20210312|110.00P,XLV,110.00,-0.72%,0.26,2.01,3.75,0.56,0.14,+33.33%,29,82,0.35,36.33%,Put,8,03/12/21,03/03/21,22.88%
XLV|20210312|110.50P,XLV,110.50,-0.27%,0.99,2.55,4.10,1.65,0.80,+94.12%,40,120,0.33,27.24%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|111.00P,XLV,111.00,+0.18%,0.77,2.16,3.55,1.61,0.76,+89.41%,69,232,0.30,22.75%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|111.50P,XLV,111.50,+0.63%,0.21,2.18,4.15,0.76,-0.13,-14.61%,1,1,1.00,27.26%,Put,8,03/12/21,02/18/21,22.88%
XLV|20210312|112.00P,XLV,112.00,+1.08%,0.89,2.67,4.45,2.72,2.00,+277.78%,8,145,0.06,31.07%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|112.50P,XLV,112.50,+1.53%,0.74,2.87,5.00,1.60,0.00,unch,2,3,0.67,61.82%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|113.00P,XLV,113.00,+1.99%,0.88,3.19,5.50,1.83,0.82,+81.19%,15,21,0.71,28.21%,Put,8,03/12/21,03/03/21,22.88%
XLV|20210312|113.50P,XLV,113.50,+2.44%,1.24,3.37,5.50,3.70,1.79,+93.72%,1,154,0.01,30.95%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|114.00P,XLV,114.00,+2.89%,1.21,3.61,6.00,3.65,1.77,+94.15%,5,248,0.02,22.81%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|114.50P,XLV,114.50,+3.34%,1.60,4.05,6.50,4.05,1.41,+53.41%,6,25,0.24,22.51%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|115.00P,XLV,115.00,+3.79%,2.08,4.54,7.00,2.87,0.07,+2.50%,2,91,0.02,68.65%,Put,8,03/12/21,03/04/21,22.88%
XLV|20210312|115.50P,XLV,115.50,+4.24%,2.55,5.03,7.50,1.89,-0.56,-22.86%,1,1,1.00,25.57%,Put,8,03/12/21,02/18/21,22.88%
XLV|20210312|116.00P,XLV,116.00,+4.69%,3.15,5.58,8.00,4.10,2.40,+141.18%,5,9,0.56,28.74%,Put,8,03/12/21,03/03/21,22.88%
"Downloaded from Barchart.com as of 03-05-2021 08:30am CST"
