Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLV|20210319|55.00C,XLV,55.00,+52.01%,57.05,59.53,62.00,0.00,0.00,unch,0,0,0.00,465.21%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|60.00C,XLV,60.00,+47.64%,52.05,54.53,57.00,0.00,0.00,unch,0,0,0.00,419.14%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|65.00C,XLV,65.00,+43.28%,47.05,49.53,52.00,0.00,0.00,unch,0,0,0.00,376.75%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|70.00C,XLV,70.00,+38.92%,42.05,44.53,47.00,0.00,0.00,unch,0,0,0.00,337.38%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|75.00C,XLV,75.00,+34.55%,37.05,39.53,42.00,0.00,0.00,unch,0,0,0.00,300.48%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|80.00C,XLV,80.00,+30.19%,33.75,34.83,35.90,34.18,0.68,+2.03%,6,3,2.00,152.54%,Call,6,03/19/21,03/09/21,21.94%,14.09%
XLV|20210319|85.00C,XLV,85.00,+25.83%,27.50,29.75,32.00,0.00,0.00,unch,0,0,0.00,122.09%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|87.00C,XLV,87.00,+24.08%,25.05,27.53,30.00,0.00,0.00,unch,0,0,0.00,219.43%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|88.00C,XLV,88.00,+23.21%,25.75,26.85,27.95,19.38,-2.09,-9.73%,2,2,1.00,119.72%,Call,6,03/19/21,10/15/20,21.94%,14.09%
XLV|20210319|89.00C,XLV,89.00,+22.34%,24.70,25.83,26.95,0.00,0.00,unch,0,0,0.00,113.28%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|90.00C,XLV,90.00,+21.47%,22.30,24.55,26.80,24.76,-0.19,-0.76%,3,11,0.27,194.25%,Call,6,03/19/21,03/09/21,21.94%,14.09%
XLV|20210319|91.00C,XLV,91.00,+20.59%,22.05,23.45,24.85,0.00,0.00,unch,0,0,0.00,156.44%,Call,6,03/19/21,N/A,21.94%,14.09%
XLV|20210319|92.00C,XLV,92.00,+19.72%,21.70,22.80,23.90,22.25,-1.43,-6.04%,1,4,0.25,98.69%,Call,6,03/19/21,02/22/21,21.94%,14.09%
XLV|20210319|93.00C,XLV,93.00,+18.85%,20.70,21.83,22.95,17.31,1.11,+6.85%,1,1,1.00,96.68%,Call,6,03/19/21,09/02/20,21.94%,14.09%
XLV|20210319|94.00C,XLV,94.00,+17.98%,19.70,20.80,21.90,22.08,0.51,+2.36%,2,15,0.13,90.61%,Call,6,03/19/21,02/16/21,21.94%,14.09%
XLV|20210319|95.00C,XLV,95.00,+17.10%,17.30,19.55,21.80,21.15,-2.18,-9.34%,1,66,0.02,163.73%,Call,6,03/19/21,02/16/21,21.94%,14.09%
XLV|20210319|96.00C,XLV,96.00,+16.23%,17.70,18.78,19.85,10.15,10.15,unch,13,13,1.00,80.65%,Call,6,03/19/21,09/21/20,21.94%,14.09%
XLV|20210319|97.00C,XLV,97.00,+15.36%,16.85,17.85,18.85,17.20,-0.37,-2.11%,13,795,0.02,123.98%,Call,6,03/19/21,03/12/21,21.94%,14.09%
XLV|20210319|98.00C,XLV,98.00,+14.49%,15.50,16.65,17.80,16.30,-1.47,-8.27%,1,98,0.01,60.24%,Call,6,03/19/21,03/02/21,21.94%,14.09%
XLV|20210319|99.00C,XLV,99.00,+13.61%,14.50,15.93,17.35,13.71,-2.41,-14.95%,6,203,0.03,78.21%,Call,6,03/19/21,03/05/21,21.94%,14.09%
XLV|20210319|100.00C,XLV,100.00,+12.74%,13.50,14.73,15.95,14.30,1.10,+8.33%,6,340,0.02,110.86%,Call,6,03/19/21,03/12/21,21.94%,14.09%
XLV|20210319|101.00C,XLV,101.00,+11.87%,12.50,13.68,14.85,13.10,-1.91,-12.72%,1,146,0.01,53.11%,Call,6,03/19/21,02/22/21,21.94%,14.09%
XLV|20210319|102.00C,XLV,102.00,+10.99%,11.50,12.65,13.80,13.13,0.02,+0.15%,1,426,0.00,46.87%,Call,6,03/19/21,02/24/21,21.94%,14.09%
XLV|20210319|103.00C,XLV,103.00,+10.12%,10.50,11.78,13.05,8.45,-2.29,-21.32%,4,942,0.00,53.52%,Call,6,03/19/21,03/05/21,21.94%,14.09%
XLV|20210319|104.00C,XLV,104.00,+9.25%,9.55,10.65,11.75,11.10,0.05,+0.45%,1,540,0.00,40.22%,Call,6,03/19/21,02/24/21,21.94%,14.09%
XLV|20210319|105.00C,XLV,105.00,+8.38%,8.80,9.45,10.10,9.75,0.25,+2.63%,10,"1,173",0.01,44.35%,Call,6,03/19/21,03/12/21,21.94%,14.09%
