Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLV|20210401|90.00C,XLV,90.00,+20.77%,21.20,23.60,26.00,0.00,0.00,unch,0,0,0.00,35.55%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|95.00C,XLV,95.00,+16.37%,17.35,18.60,19.85,0.00,0.00,unch,0,0,0.00,28.34%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|100.00C,XLV,100.00,+11.96%,12.45,13.65,14.85,0.00,0.00,unch,0,0,0.00,24.14%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|105.00C,XLV,105.00,+7.56%,8.70,9.58,10.45,0.00,0.00,unch,0,0,0.00,29.99%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|109.00C,XLV,109.00,+4.04%,5.10,6.05,7.00,0.00,0.00,unch,0,0,0.00,24.78%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|109.50C,XLV,109.50,+3.60%,4.70,5.63,6.55,0.00,0.00,unch,0,0,0.00,24.07%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|110.00C,XLV,110.00,+3.16%,4.50,5.45,6.40,7.43,7.43,unch,1,1,1.00,25.33%,Call,34,04/01/21,02/16/21,0.00%
XLV|20210401|110.50C,XLV,110.50,+2.72%,4.05,4.75,5.45,0.00,0.00,unch,0,0,0.00,22.31%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|111.00C,XLV,111.00,+2.28%,3.60,4.35,5.10,0.00,0.00,unch,0,0,0.00,21.64%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|111.50C,XLV,111.50,+1.84%,3.60,4.30,5.00,0.00,0.00,unch,0,0,0.00,23.55%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|112.00C,XLV,112.00,+1.40%,2.99,4.00,5.00,0.00,0.00,unch,0,0,0.00,23.41%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|112.50C,XLV,112.50,+0.96%,2.85,3.47,4.10,0.00,0.00,unch,0,0,0.00,21.60%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|113.00C,XLV,113.00,+0.52%,2.58,3.67,4.75,0.00,0.00,unch,0,0,0.00,24.89%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|113.50C,XLV,113.50,+0.08%,0.84,2.17,3.50,0.00,0.00,unch,0,0,0.00,15.85%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|114.00C,XLV,114.00,-0.36%,2.34,2.77,3.20,0.00,0.00,unch,0,0,0.00,21.91%,Call,34,04/01/21,N/A,0.00%
XLV|20210401|114.50C,XLV,114.50,-0.80%,0.77,2.71,4.65,2.40,2.40,unch,12,12,1.00,23.10%,Call,34,04/01/21,02/22/21,0.00%
XLV|20210401|115.00C,XLV,115.00,-1.24%,1.88,2.59,3.30,2.76,2.76,unch,1,1,1.00,23.77%,Call,34,04/01/21,02/19/21,0.00%
XLV|20210401|115.50C,XLV,115.50,-1.68%,1.28,3.04,4.80,1.73,-1.50,-46.44%,8,1,8.00,28.56%,Call,34,04/01/21,02/22/21,0.00%
