Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLY|20210219|85.00C,XLY,85.00,+50.93%,85.85,88.07,90.30,0.00,0.00,unch,0,0,0.00,302.71%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|90.00C,XLY,90.00,+48.04%,80.50,82.88,85.25,0.00,0.00,unch,0,0,0.00,280.20%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|95.00C,XLY,95.00,+45.15%,76.00,78.20,80.40,0.00,0.00,unch,0,0,0.00,265.28%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|100.00C,XLY,100.00,+42.27%,70.50,72.93,75.35,0.00,0.00,unch,0,0,0.00,244.89%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|105.00C,XLY,105.00,+39.38%,65.50,67.88,70.25,0.00,0.00,unch,0,0,0.00,224.10%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|110.00C,XLY,110.00,+36.49%,60.50,62.93,65.35,0.00,0.00,unch,0,0,0.00,209.70%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|113.00C,XLY,113.00,+34.76%,57.60,60.05,62.50,0.00,0.00,unch,0,0,0.00,203.44%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|114.00C,XLY,114.00,+34.18%,57.00,59.25,61.50,0.00,0.00,unch,0,0,0.00,89.87%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|115.00C,XLY,115.00,+33.61%,55.70,58.10,60.50,0.00,0.00,unch,0,0,0.00,196.81%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|116.00C,XLY,116.00,+33.03%,55.00,57.45,59.90,0.00,0.00,unch,0,0,0.00,119.02%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|117.00C,XLY,117.00,+32.45%,54.00,56.25,58.50,0.00,0.00,unch,0,0,0.00,83.81%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|118.00C,XLY,118.00,+31.87%,53.00,55.25,57.50,0.00,0.00,unch,0,0,0.00,81.81%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|119.00C,XLY,119.00,+31.30%,52.00,54.25,56.50,0.00,0.00,unch,0,0,0.00,79.83%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|120.00C,XLY,120.00,+30.72%,51.00,53.25,55.50,0.00,0.00,unch,0,0,0.00,77.87%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|121.00C,XLY,121.00,+30.14%,50.00,52.25,54.50,0.00,0.00,unch,0,0,0.00,75.92%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|122.00C,XLY,122.00,+29.57%,49.00,51.25,53.50,0.00,0.00,unch,0,0,0.00,73.98%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|123.00C,XLY,123.00,+28.99%,48.00,50.40,52.80,0.00,0.00,unch,0,0,0.00,99.19%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|124.00C,XLY,124.00,+28.41%,47.00,49.25,51.50,0.00,0.00,unch,0,0,0.00,70.13%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|125.00C,XLY,125.00,+27.83%,45.50,47.88,50.25,0.00,0.00,unch,0,0,0.00,159.54%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|126.00C,XLY,126.00,+27.26%,45.00,47.25,49.50,0.00,0.00,unch,0,0,0.00,66.32%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|127.00C,XLY,127.00,+26.68%,44.00,46.25,48.50,0.00,0.00,unch,0,0,0.00,64.42%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|128.00C,XLY,128.00,+26.10%,43.00,45.25,47.50,0.00,0.00,unch,0,0,0.00,62.54%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|129.00C,XLY,129.00,+25.52%,42.00,44.25,46.50,0.00,0.00,unch,0,0,0.00,60.66%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|130.00C,XLY,130.00,+24.95%,41.00,43.25,45.50,0.00,0.00,unch,0,0,0.00,58.78%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|131.00C,XLY,131.00,+24.37%,40.00,42.25,44.50,29.30,29.30,unch,2,2,1.00,56.90%,Call,10,02/19/21,12/18/20,19.09%
XLY|20210219|132.00C,XLY,132.00,+23.79%,39.00,41.25,43.50,0.00,0.00,unch,0,0,0.00,55.02%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|133.00C,XLY,133.00,+23.21%,38.00,40.25,42.50,0.00,0.00,unch,0,0,0.00,53.13%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|134.00C,XLY,134.00,+22.64%,37.00,39.15,41.30,0.00,0.00,unch,0,0,0.00,134.03%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|135.00C,XLY,135.00,+22.06%,36.00,38.15,40.30,35.02,3.12,+9.78%,1,2,0.50,131.14%,Call,10,02/19/21,01/22/21,19.09%
XLY|20210219|136.00C,XLY,136.00,+21.48%,35.00,37.25,39.50,0.00,0.00,unch,0,0,0.00,47.39%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|137.00C,XLY,137.00,+20.91%,34.00,36.25,38.50,0.00,0.00,unch,0,0,0.00,45.41%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|138.00C,XLY,138.00,+20.33%,33.00,35.25,37.50,22.70,22.70,unch,1,1,1.00,43.37%,Call,10,02/19/21,12/18/20,19.09%
XLY|20210219|139.00C,XLY,139.00,+19.75%,32.00,34.25,36.50,0.00,0.00,unch,0,0,0.00,41.23%,Call,10,02/19/21,N/A,19.09%
XLY|20210219|140.00C,XLY,140.00,+19.17%,31.00,33.25,35.50,25.48,-2.37,-8.51%,1,12,0.08,38.91%,Call,10,02/19/21,01/29/21,19.09%
XLY|20210219|141.00C,XLY,141.00,+18.60%,30.00,32.25,34.50,19.90,19.90,unch,5,5,1.00,36.20%,Call,10,02/19/21,12/18/20,19.09%
XLY|20210219|142.00C,XLY,142.00,+18.02%,29.00,31.25,33.50,23.85,4.65,+24.22%,6,17,0.35,31.92%,Call,10,02/19/21,01/27/21,19.09%
XLY|20210219|143.00C,XLY,143.00,+17.44%,28.00,30.15,32.30,23.85,0.45,+1.92%,1,9,0.11,108.40%,Call,10,02/19/21,01/15/21,19.09%
XLY|20210219|144.00C,XLY,144.00,+16.86%,27.40,29.60,31.80,28.28,11.85,+72.12%,2,3,0.67,113.70%,Call,10,02/19/21,02/08/21,19.09%
XLY|20210219|145.00C,XLY,145.00,+16.29%,26.00,28.38,30.75,22.97,-1.35,-5.55%,3,8,0.38,54.06%,Call,10,02/19/21,01/14/21,19.09%
XLY|20210219|146.00C,XLY,146.00,+15.71%,25.00,27.25,29.50,16.25,0.57,+3.64%,1,5,0.20,103.22%,Call,10,02/19/21,12/31/20,19.09%
XLY|20210219|147.00C,XLY,147.00,+15.13%,24.05,26.30,28.55,16.65,-4.25,-20.33%,12,16,0.75,43.91%,Call,10,02/19/21,01/29/21,19.09%
