Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,Time
85.00,+48.47%,77.00,79.08,81.15,0.00,0.00,unch,0,0,0.00,268.66%,Call,N/A
90.00,+45.44%,72.00,74.08,76.15,0.00,0.00,unch,0,0,0.00,248.66%,Call,N/A
95.00,+42.41%,67.00,69.08,71.15,0.00,0.00,unch,0,0,0.00,229.68%,Call,N/A
100.00,+39.38%,62.00,64.08,66.15,0.00,0.00,unch,0,0,0.00,211.62%,Call,N/A
105.00,+36.34%,57.00,59.08,61.15,0.00,0.00,unch,0,0,0.00,194.34%,Call,N/A
110.00,+33.31%,52.00,54.08,56.15,0.00,0.00,unch,0,0,0.00,177.77%,Call,N/A
115.00,+30.28%,47.00,49.10,51.20,0.00,0.00,unch,0,0,0.00,163.38%,Call,N/A
120.00,+27.25%,42.00,44.10,46.20,0.00,0.00,unch,0,0,0.00,147.83%,Call,N/A
125.00,+24.22%,37.00,39.10,41.20,0.00,0.00,unch,0,0,0.00,132.72%,Call,N/A
130.00,+21.19%,32.00,34.13,36.25,0.00,0.00,unch,0,0,0.00,119.23%,Call,N/A
135.00,+18.16%,27.00,29.15,31.30,0.00,0.00,unch,0,0,0.00,105.81%,Call,N/A
140.00,+15.13%,22.00,24.15,26.30,30.42,1.52,+5.26%,1,1,1.00,91.37%,Call,02/04/21
145.00,+12.09%,17.00,19.18,21.35,0.00,0.00,unch,0,0,0.00,77.92%,Call,N/A
146.00,+11.49%,16.00,18.20,20.40,0.00,0.00,unch,0,0,0.00,75.91%,Call,N/A
147.00,+10.88%,15.00,17.20,19.40,0.00,0.00,unch,0,0,0.00,72.99%,Call,N/A
147.50,+10.58%,14.50,16.70,18.90,0.00,0.00,unch,0,0,0.00,71.53%,Call,N/A
148.00,+10.28%,14.00,16.20,18.40,0.00,0.00,unch,0,0,0.00,70.06%,Call,N/A
148.50,+9.97%,13.50,15.73,17.95,0.00,0.00,unch,0,0,0.00,69.41%,Call,N/A
149.00,+9.67%,13.00,15.23,17.45,0.00,0.00,unch,0,0,0.00,67.94%,Call,N/A
149.50,+9.37%,12.50,14.73,16.95,0.00,0.00,unch,0,0,0.00,66.46%,Call,N/A
150.00,+9.06%,12.00,14.23,16.45,0.00,0.00,unch,0,0,0.00,64.97%,Call,N/A
152.50,+7.55%,10.00,11.98,13.95,0.00,0.00,unch,0,0,0.00,57.50%,Call,N/A
155.00,+6.03%,7.50,9.80,12.10,0.00,0.00,unch,0,0,0.00,58.37%,Call,N/A
157.50,+4.52%,5.50,7.95,10.40,0.00,0.00,unch,0,0,0.00,27.74%,Call,N/A
160.00,+3.00%,3.00,5.45,7.90,4.50,-6.95,-60.70%,50,2,25.00,49.75%,Call,02/23/21
161.00,+2.39%,2.50,5.00,7.50,4.41,-5.14,-53.82%,55,12,4.58,17.71%,Call,02/23/21
162.50,+1.49%,1.50,3.93,6.35,2.75,2.75,unch,1,0,0.00,11.24%,Call,02/23/21
163.00,+1.18%,1.00,3.50,6.00,3.13,-4.87,-60.88%,1,17,0.06,19.70%,Call,02/23/21
164.00,+0.58%,0.50,3.00,5.50,5.25,-3.20,-37.87%,1,1,1.00,24.37%,Call,02/22/21
165.00,-0.03%,0.05,2.53,5.00,3.91,-3.77,-49.09%,2,18,0.11,24.80%,Call,02/22/21
166.00,-0.64%,0.05,2.53,5.00,3.50,-4.51,-56.30%,2,5,0.40,29.26%,Call,02/22/21
167.00,-1.24%,0.05,2.53,5.00,1.00,-4.90,-83.05%,3,8,0.38,17.86%,Call,02/23/21
167.50,-1.55%,0.27,2.64,5.00,1.61,-0.81,-33.47%,3,15,0.20,25.99%,Call,02/23/21
168.00,-1.85%,0.25,2.63,5.00,1.44,-1.07,-42.63%,34,9,3.78,25.94%,Call,02/23/21
169.00,-2.46%,0.21,2.61,5.00,0.97,-0.41,-29.71%,9,16,0.56,23.87%,Call,02/23/21
170.00,-3.06%,0.13,2.57,5.00,0.81,-0.19,-19.00%,3,62,0.05,24.75%,Call,02/23/21
171.00,-3.67%,0.02,2.51,5.00,1.23,-1.17,-48.75%,4,36,0.11,47.24%,Call,02/22/21
172.00,-4.27%,0.03,2.52,5.00,0.32,-0.65,-67.01%,4,18,0.22,22.09%,Call,02/23/21
172.50,-4.58%,0.03,0.64,1.25,0.65,-1.06,-61.99%,6,13,0.46,28.74%,Call,02/22/21
173.00,-4.88%,0.12,1.54,2.95,0.70,-0.64,-47.76%,7,24,0.29,42.12%,Call,02/22/21
174.00,-5.49%,0.03,2.52,5.00,0.24,-0.23,-48.94%,2,17,0.12,24.43%,Call,02/23/21
175.00,-6.09%,0.08,0.22,0.35,0.18,-0.11,-37.93%,4,600,0.01,24.68%,Call,02/23/21
176.00,-6.70%,0.04,2.52,5.00,0.46,-0.55,-54.46%,74,76,0.97,62.23%,Call,02/19/21
177.00,-7.31%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,64.80%,Call,N/A
