Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV"
XLY|20210312|147.00C,XLY,147.00,+5.67%,7.00,9.50,12.00,0.00,0.00,unch,0,0,0.00,38.51%,Call,8,03/12/21,N/A,26.53%
XLY|20210312|147.50C,XLY,147.50,+5.35%,6.50,8.95,11.40,0.00,0.00,unch,0,0,0.00,36.06%,Call,8,03/12/21,N/A,26.53%
XLY|20210312|148.00C,XLY,148.00,+5.02%,6.05,8.53,11.00,8.14,-11.41,-58.36%,9,12,0.75,28.12%,Call,8,03/12/21,03/04/21,26.53%
XLY|20210312|148.50C,XLY,148.50,+4.70%,5.60,8.05,10.50,0.00,0.00,unch,0,0,0.00,34.80%,Call,8,03/12/21,N/A,26.53%
XLY|20210312|149.00C,XLY,149.00,+4.38%,5.50,7.95,10.40,0.00,0.00,unch,0,0,0.00,39.52%,Call,8,03/12/21,N/A,26.53%
XLY|20210312|149.50C,XLY,149.50,+4.06%,5.00,7.50,10.00,0.00,0.00,unch,0,0,0.00,38.51%,Call,8,03/12/21,N/A,26.53%
XLY|20210312|150.00C,XLY,150.00,+3.74%,4.50,6.95,9.40,14.35,14.35,unch,4,9,0.44,36.04%,Call,8,03/12/21,02/23/21,26.53%
XLY|20210312|152.50C,XLY,152.50,+2.14%,2.50,4.95,7.40,18.67,18.67,unch,3,3,1.00,33.08%,Call,8,03/12/21,02/11/21,26.53%
XLY|20210312|155.00C,XLY,155.00,+0.53%,2.05,4.03,6.00,2.77,-6.43,-69.89%,5,12,0.42,25.54%,Call,8,03/12/21,03/04/21,26.53%
XLY|20210312|156.00C,XLY,156.00,-0.11%,0.20,2.60,5.00,2.18,-7.61,-77.73%,6,1,6.00,24.71%,Call,8,03/12/21,03/04/21,26.53%
XLY|20210312|157.50C,XLY,157.50,-1.07%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,35.70%,Call,8,03/12/21,N/A,26.53%
XLY|20210312|159.00C,XLY,159.00,-2.03%,0.30,2.65,5.00,0.97,-6.13,-86.34%,2,16,0.13,23.77%,Call,8,03/12/21,03/04/21,26.53%
XLY|20210312|160.00C,XLY,160.00,-2.68%,0.03,2.52,5.00,1.04,-5.10,-83.06%,40,41,0.98,28.10%,Call,8,03/12/21,03/04/21,26.53%
