Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV"
XLY|20210401|105.00C,XLY,105.00,+36.34%,57.00,59.10,61.20,0.00,0.00,unch,0,0,0.00,99.20%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|110.00C,XLY,110.00,+33.31%,52.00,54.13,56.25,0.00,0.00,unch,0,0,0.00,91.60%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|115.00C,XLY,115.00,+30.28%,47.00,49.13,51.25,0.00,0.00,unch,0,0,0.00,83.44%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|120.00C,XLY,120.00,+27.25%,42.00,44.15,46.30,0.00,0.00,unch,0,0,0.00,76.24%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|125.00C,XLY,125.00,+24.22%,37.00,39.18,41.35,0.00,0.00,unch,0,0,0.00,69.16%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|130.00C,XLY,130.00,+21.19%,32.00,34.23,36.45,0.00,0.00,unch,0,0,0.00,62.73%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|135.00C,XLY,135.00,+18.16%,27.50,29.53,31.55,0.00,0.00,unch,0,0,0.00,56.24%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|140.00C,XLY,140.00,+15.13%,22.50,24.63,26.75,30.39,30.39,unch,1,1,1.00,50.56%,Call,36,04/01/21,02/19/21,0.00%
XLY|20210401|145.00C,XLY,145.00,+12.09%,18.00,19.93,21.85,0.00,0.00,unch,0,0,0.00,43.73%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|147.00C,XLY,147.00,+10.88%,16.00,18.10,20.20,0.00,0.00,unch,0,0,0.00,22.16%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|147.50C,XLY,147.50,+10.58%,15.50,17.68,19.85,0.00,0.00,unch,0,0,0.00,23.06%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|148.00C,XLY,148.00,+10.28%,15.00,17.23,19.45,0.00,0.00,unch,0,0,0.00,23.33%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|148.50C,XLY,148.50,+9.97%,14.50,16.80,19.10,0.00,0.00,unch,0,0,0.00,23.86%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|149.00C,XLY,149.00,+9.67%,14.00,16.38,18.75,0.00,0.00,unch,0,0,0.00,24.26%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|149.50C,XLY,149.50,+9.37%,14.00,16.18,18.35,0.00,0.00,unch,0,0,0.00,26.96%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|150.00C,XLY,150.00,+9.06%,13.50,15.73,17.95,0.00,0.00,unch,0,0,0.00,26.79%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|152.50C,XLY,152.50,+7.55%,11.00,13.50,16.00,0.00,0.00,unch,0,0,0.00,25.76%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|155.00C,XLY,155.00,+6.03%,9.50,12.00,14.50,0.00,0.00,unch,0,0,0.00,28.93%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|157.50C,XLY,157.50,+4.52%,7.00,9.50,12.00,14.13,14.13,unch,1,1,1.00,24.72%,Call,36,04/01/21,02/17/21,0.00%
XLY|20210401|160.00C,XLY,160.00,+3.00%,5.00,7.50,10.00,0.00,0.00,unch,0,0,0.00,23.03%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|162.50C,XLY,162.50,+1.49%,3.50,5.95,8.40,5.25,5.25,unch,4,0,0.00,19.36%,Call,36,04/01/21,02/23/21,0.00%
XLY|20210401|164.00C,XLY,164.00,+0.58%,2.50,4.95,7.40,0.00,0.00,unch,0,0,0.00,21.93%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|165.00C,XLY,165.00,-0.03%,2.00,4.45,6.90,0.00,0.00,unch,0,0,0.00,21.93%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|166.00C,XLY,166.00,-0.64%,1.50,3.95,6.40,5.85,5.85,unch,1,2,0.50,21.75%,Call,36,04/01/21,02/22/21,0.00%
XLY|20210401|167.00C,XLY,167.00,-1.24%,1.00,3.45,5.90,5.05,5.05,unch,2,2,1.00,21.40%,Call,36,04/01/21,02/22/21,0.00%
XLY|20210401|167.50C,XLY,167.50,-1.55%,1.00,3.45,5.90,0.00,0.00,unch,0,0,0.00,22.39%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|168.00C,XLY,168.00,-1.85%,0.50,3.00,5.50,0.00,0.00,unch,0,0,0.00,21.11%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|169.00C,XLY,169.00,-2.46%,0.50,2.95,5.40,0.00,0.00,unch,0,0,0.00,22.69%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|170.00C,XLY,170.00,-3.06%,0.02,2.51,5.00,5.31,0.16,+3.11%,1,5,0.20,22.14%,Call,36,04/01/21,02/18/21,0.00%
XLY|20210401|171.00C,XLY,171.00,-3.67%,0.02,2.51,5.00,4.39,-0.58,-11.67%,5,5,1.00,23.77%,Call,36,04/01/21,02/18/21,0.00%
XLY|20210401|172.00C,XLY,172.00,-4.27%,0.02,2.51,5.00,1.65,-2.20,-57.14%,1,3,0.33,20.48%,Call,36,04/01/21,02/23/21,0.00%
XLY|20210401|172.50C,XLY,172.50,-4.58%,0.02,2.51,5.00,0.00,0.00,unch,0,5,0.00,26.11%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|173.00C,XLY,173.00,-4.88%,0.02,2.51,5.00,3.75,3.75,unch,15,15,1.00,26.87%,Call,36,04/01/21,02/12/21,0.00%
XLY|20210401|174.00C,XLY,174.00,-5.49%,0.02,2.51,5.00,3.60,0.20,+5.88%,1,8,0.13,28.35%,Call,36,04/01/21,02/16/21,0.00%
XLY|20210401|175.00C,XLY,175.00,-6.09%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,29.87%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|176.00C,XLY,176.00,-6.70%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,31.19%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|177.00C,XLY,177.00,-7.31%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,32.56%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|177.50C,XLY,177.50,-7.61%,0.02,2.51,5.00,0.95,0.95,unch,1,6,0.17,33.24%,Call,36,04/01/21,02/22/21,0.00%
XLY|20210401|180.00C,XLY,180.00,-9.12%,0.07,0.81,1.55,0.00,0.00,unch,0,0,0.00,24.29%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|182.50C,XLY,182.50,-10.64%,0.03,2.52,5.00,0.00,0.00,unch,0,0,0.00,39.66%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|185.00C,XLY,185.00,-12.16%,0.02,2.51,5.00,0.23,-0.29,-55.77%,1,35,0.03,21.87%,Call,36,04/01/21,02/23/21,0.00%
XLY|20210401|187.50C,XLY,187.50,-13.67%,0.01,2.51,5.00,0.20,-0.25,-55.56%,9,9,1.00,45.45%,Call,36,04/01/21,02/22/21,0.00%
XLY|20210401|190.00C,XLY,190.00,-15.19%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,48.23%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|192.50C,XLY,192.50,-16.70%,0.03,2.52,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|195.00C,XLY,195.00,-18.22%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|197.50C,XLY,197.50,-19.73%,0.03,2.52,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|200.00C,XLY,200.00,-21.25%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|202.50C,XLY,202.50,-22.76%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|205.00C,XLY,205.00,-24.28%,0.00,2.50,5.00,0.00,0.00,unch,0,0,0.00,0.00%,Call,36,04/01/21,N/A,0.00%
XLY|20210401|105.00P,XLY,105.00,-36.34%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,116.60%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|110.00P,XLY,110.00,-33.31%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,107.10%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|115.00P,XLY,115.00,-30.28%,0.05,2.53,5.00,0.00,0.00,unch,0,0,0.00,98.18%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|120.00P,XLY,120.00,-27.25%,0.04,2.52,5.00,0.00,0.00,unch,0,0,0.00,89.25%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|125.00P,XLY,125.00,-24.22%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,80.48%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|130.00P,XLY,130.00,-21.19%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,72.08%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|135.00P,XLY,135.00,-18.16%,0.01,2.51,5.00,0.00,0.00,unch,0,0,0.00,63.84%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|140.00P,XLY,140.00,-15.13%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,55.75%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|145.00P,XLY,145.00,-12.09%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,47.64%,Put,36,04/01/21,N/A,0.00%
XLY|20210401|147.00P,XLY,147.00,-10.88%,0.02,2.51,5.00,0.00,0.00,unch,0,0,0.00,44.39%,Put,36,04/01/21,N/A,0.00%
